,model,columns,best_params,training_time,accuracy,precision,recall,f1,roc_auc,mean_fit_time,predict_time
50,KNeighborsClassifier,['avg_price_per_room_scaled'],{'n_neighbors': 3},3.5171031951904297,0.6787,0.4876,0.386,0.431,0.642,0.01,0.099
51,LogisticRegression,['avg_price_per_room_scaled'],"{'C': 0.1, 'max_iter': 100}",0.3728041648864746,0.6826,0.4286,0.022,0.042,0.59,0.006,0.001
52,LinearDiscriminantAnalysis,['avg_price_per_room_scaled'],{},0.04305100440979004,0.6801,0.3759,0.023,0.043,0.59,0.005,0.0
53,QuadraticDiscriminantAnalysis,['avg_price_per_room_scaled'],{},0.037047624588012695,0.6836,0.4483,0.018,0.034,0.59,0.004,0.001
54,DecisionTreeClassifier,['avg_price_per_room_scaled'],"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",1.050227165222168,0.7149,0.584,0.331,0.423,0.716,0.028,0.001
55,RandomForestClassifier,['avg_price_per_room_scaled'],"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",323.6832666397095,0.7117,0.571,0.342,0.428,0.72,3.97,0.184
56,GaussianNB,"['guests_per_night', 'avg_price_per_room_scaled']",{},0.09992194175720215,0.6833,0.4304,0.016,0.03,0.59,0.02,0.001
57,KNeighborsClassifier,"['guests_per_night', 'avg_price_per_room_scaled']",{'n_neighbors': 5},4.184402942657471,0.7226,0.5679,0.5,0.532,0.725,0.012,0.106
58,LogisticRegression,"['guests_per_night', 'avg_price_per_room_scaled']","{'C': 10, 'max_iter': 100}",0.4592020511627197,0.6796,0.3688,0.024,0.045,0.59,0.009,0.001
59,LinearDiscriminantAnalysis,"['guests_per_night', 'avg_price_per_room_scaled']",{},0.05932807922363281,0.6775,0.3416,0.025,0.047,0.59,0.011,0.001
60,QuadraticDiscriminantAnalysis,"['guests_per_night', 'avg_price_per_room_scaled']",{},0.05374002456665039,0.6764,0.3333,0.027,0.05,0.591,0.005,0.001
61,DecisionTreeClassifier,"['guests_per_night', 'avg_price_per_room_scaled']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",1.2546639442443848,0.7299,0.5894,0.471,0.523,0.724,0.031,0.002
62,RandomForestClassifier,"['guests_per_night', 'avg_price_per_room_scaled']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",299.8028359413147,0.7226,0.5693,0.491,0.527,0.742,3.495,0.08
63,GaussianNB,"['has_special_request', 'avg_price_per_room_scaled']",{},0.11512017250061035,0.6948,0.5804,0.114,0.191,0.704,0.013,0.003
64,KNeighborsClassifier,"['has_special_request', 'avg_price_per_room_scaled']",{'n_neighbors': 7},4.116671323776245,0.7321,0.5841,0.52,0.55,0.757,0.012,0.133
65,LogisticRegression,"['has_special_request', 'avg_price_per_room_scaled']","{'C': 10, 'max_iter': 100}",0.5894720554351807,0.7067,0.6125,0.188,0.288,0.699,0.009,0.001
66,LinearDiscriminantAnalysis,"['has_special_request', 'avg_price_per_room_scaled']",{},0.0556337833404541,0.7062,0.6091,0.189,0.289,0.699,0.011,0.0
67,QuadraticDiscriminantAnalysis,"['has_special_request', 'avg_price_per_room_scaled']",{},0.04404497146606445,0.709,0.5937,0.242,0.344,0.703,0.007,0.001
68,DecisionTreeClassifier,"['has_special_request', 'avg_price_per_room_scaled']","{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2}",1.6101727485656738,0.7658,0.6851,0.475,0.561,0.773,0.04,0.002
69,RandomForestClassifier,"['has_special_request', 'avg_price_per_room_scaled']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",312.83806324005127,0.7647,0.6758,0.487,0.566,0.784,3.785,0.067
70,GaussianNB,"['guests_per_night', 'has_special_request', 'avg_price_per_room_scaled']",{},0.11897587776184082,0.7048,0.6402,0.144,0.235,0.7,0.011,0.006
71,KNeighborsClassifier,"['guests_per_night', 'has_special_request', 'avg_price_per_room_scaled']",{'n_neighbors': 7},4.064273834228516,0.7605,0.6436,0.538,0.586,0.781,0.015,0.118
72,LogisticRegression,"['guests_per_night', 'has_special_request', 'avg_price_per_room_scaled']","{'C': 10, 'max_iter': 100}",0.6539251804351807,0.7116,0.6262,0.21,0.315,0.698,0.013,0.001
73,LinearDiscriminantAnalysis,"['guests_per_night', 'has_special_request', 'avg_price_per_room_scaled']",{},0.05540299415588379,0.7117,0.6214,0.218,0.323,0.698,0.019,0.001
74,QuadraticDiscriminantAnalysis,"['guests_per_night', 'has_special_request', 'avg_price_per_room_scaled']",{},0.05666518211364746,0.7169,0.622,0.259,0.366,0.7,0.006,0.001
75,DecisionTreeClassifier,"['guests_per_night', 'has_special_request', 'avg_price_per_room_scaled']","{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2}",1.5156850814819336,0.7821,0.6876,0.565,0.621,0.781,0.035,0.004
76,RandomForestClassifier,"['guests_per_night', 'has_special_request', 'avg_price_per_room_scaled']","{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",297.37950682640076,0.7818,0.6873,0.565,0.62,0.809,3.377,0.163
77,GaussianNB,"['lead_time_scaled', 'avg_price_per_room_scaled']",{},0.11816596984863281,0.7673,0.7257,0.42,0.532,0.76,0.02,0.002
78,KNeighborsClassifier,"['lead_time_scaled', 'avg_price_per_room_scaled']",{'n_neighbors': 3},3.7087929248809814,0.8039,0.7043,0.651,0.677,0.819,0.012,0.147
79,LogisticRegression,"['lead_time_scaled', 'avg_price_per_room_scaled']","{'C': 10, 'max_iter': 100}",0.542715311050415,0.7598,0.6831,0.443,0.538,0.765,0.008,0.001
80,LinearDiscriminantAnalysis,"['lead_time_scaled', 'avg_price_per_room_scaled']",{},0.05879998207092285,0.7608,0.6842,0.447,0.541,0.766,0.01,0.001
81,QuadraticDiscriminantAnalysis,"['lead_time_scaled', 'avg_price_per_room_scaled']",{},0.05570077896118164,0.765,0.7098,0.43,0.536,0.757,0.006,0.002
82,DecisionTreeClassifier,"['lead_time_scaled', 'avg_price_per_room_scaled']","{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2}",1.9266819953918457,0.8145,0.727,0.658,0.691,0.793,0.052,0.003
83,RandomForestClassifier,"['lead_time_scaled', 'avg_price_per_room_scaled']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",367.2951581478119,0.8231,0.7581,0.644,0.697,0.87,4.331,0.177
84,GaussianNB,"['guests_per_night', 'lead_time_scaled', 'avg_price_per_room_scaled']",{},0.11718988418579102,0.7653,0.7184,0.419,0.53,0.753,0.015,0.002
85,KNeighborsClassifier,"['guests_per_night', 'lead_time_scaled', 'avg_price_per_room_scaled']",{'n_neighbors': 3},3.795041084289551,0.8009,0.7014,0.641,0.67,0.819,0.012,0.096
86,LogisticRegression,"['guests_per_night', 'lead_time_scaled', 'avg_price_per_room_scaled']","{'C': 1, 'max_iter': 100}",0.5597398281097412,0.7593,0.6822,0.442,0.537,0.765,0.01,0.002
